city,team1,team2,toss_winner,toss_decision,venue,team1_last_5_scored,team1_last_5_conceded,team2_last_5_scored,team2_last_5_conceded,team1_win
Mumbai,Mumbai Indians,Punjab Kings,Mumbai Indians,bat,Wankhede Stadium,129.4,128.4,136.2,141.2,0
Cuttack,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Barabati Stadium,161.6,162.0,140.6,135.2,0
Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Sawai Mansingh Stadium,167.8,162.6,163.2,182.6,0
Pune,Rising Pune Supergiant,Delhi Capitals,Rising Pune Supergiant,bat,Subrata Roy Sahara Stadium,159.2,158.6,135.0,141.6,0
Chandigarh,Punjab Kings,Mumbai Indians,Punjab Kings,bat,"Punjab Cricket Association Stadium, Mohali",140.2,140.6,139.0,138.8,0
Pune,Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Subrata Roy Sahara Stadium,165.4,165.0,147.2,164.2,0
Delhi,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Feroz Shah Kotla,137.2,139.4,153.0,146.6,1
Chennai,Chennai Super Kings,Punjab Kings,Punjab Kings,bat,"MA Chidambaram Stadium, Chepauk",156.8,153.8,150.6,151.8,0
Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Eden Gardens,137.6,127.6,176.4,178.2,1
Delhi,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Feroz Shah Kotla,156.4,151.4,162.4,161.0,1
Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Wankhede Stadium,158.6,160.4,158.8,157.4,1
Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",164.6,162.8,142.6,131.6,0
Cuttack,Sunrisers Hyderabad,Rising Pune Supergiant,Sunrisers Hyderabad,bat,Barabati Stadium,151.2,149.2,166.0,169.4,1
Jaipur,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Sawai Mansingh Stadium,166.4,164.0,168.2,163.2,0
Bangalore,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,M Chinnaswamy Stadium,164.0,174.6,155.0,155.2,0
Pune,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,bat,Subrata Roy Sahara Stadium,164.2,169.4,139.4,146.4,0
Chennai,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",150.8,149.8,149.2,144.4,1
Kolkata,Kolkata Knight Riders,Rising Pune Supergiant,Kolkata Knight Riders,bat,Eden Gardens,143.2,133.2,157.8,160.6,1
Chandigarh,Punjab Kings,Rajasthan Royals,Rajasthan Royals,bat,"Punjab Cricket Association Stadium, Mohali",162.8,161.4,155.6,165.6,0
Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Wankhede Stadium,145.0,151.6,151.8,148.6,1
Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,168.4,168.2,147.8,144.0,1
Delhi,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Feroz Shah Kotla,164.6,160.0,146.8,135.0,0
Pune,Rising Pune Supergiant,Rajasthan Royals,Rising Pune Supergiant,bat,Subrata Roy Sahara Stadium,148.0,156.2,151.6,153.2,0
